ftime(hr)    y01   DS02   LG02   HWFI   AVNI   VMXC   DV12   SLAT   SSTN   SHDC   DTL 
  12        11.5    2.5    2.5   -9.5    4.5   93.5    5.0   29.6   28.4   14.5 1541.7
  12         0.8    0.8    0.8   -6.2    4.8   94.2    0.0   30.7   27.9   13.2 1545.3
  12       -14.0    1.0    0.0   -3.0    2.0   99.0    5.0   31.8   27.9   11.5 1484.3
  12        -8.8    2.2   -0.8   -2.8    1.2   93.8    0.0   33.0   28.0    7.6 1390.0
  12         4.0    4.0   -1.0   -2.0   -1.0   76.0  -20.0   34.3   27.9    3.8 1304.7
  12         4.8    2.8   -3.2    5.8   -5.2   75.2  -15.0   35.8   26.8    6.8 1184.3
  12        -3.0    2.0   -2.0    2.0   -2.0   78.0    0.0   36.9   26.0    9.7 1091.3
  12        -5.5    1.5    0.5    2.5   -4.5   75.5    0.0   38.2   25.2   13.8  993.7
  12         2.5    2.5    0.5   -0.5   -2.5   67.5   -5.0   39.1   24.8   15.8  997.3
  12        -0.5    1.5   -0.5    0.5   -1.5   65.5   -5.0   39.8   23.9   20.2 1051.3
  12         2.5    3.5    0.5   -3.5   -0.5   57.5   -5.0   40.1   23.1   25.9 1168.3
  12         4.5    2.5    2.5   -5.5    0.5   50.5  -10.0   39.9   23.0   29.3 1257.3
  12        -2.8    2.2    2.2   -4.8    0.2   47.8  -10.0   39.9   22.8   29.6 1372.0
  12        17.2    1.2    0.2    1.2   -2.8   37.8    5.0   25.2   28.9   26.5  758.0
  12         6.8    1.8    5.8   -3.2   -4.2   53.2   20.0   26.4   28.5   30.5  887.7
  12         8.8    0.8    1.8   -0.2   -2.2   51.2   10.0   27.7   28.3   29.6 1032.3
  12         3.8   -2.2   -0.2    4.8   -2.2   56.2    5.0   28.7   28.3   32.4 1096.0
  12         4.8    0.8    0.8   -2.2    0.8   60.2    5.0   30.2   28.0   31.1 1150.3
  12        13.2   -0.8   -0.8   -0.8    2.2   56.8    0.0   31.5   27.6   35.3 1167.0
  12         0.2   -2.8   -2.8    5.2    0.2   59.8    0.0   32.8   26.9   35.8 1139.0
  12       -13.0   -4.0   -4.0    5.0    3.0   63.0    0.0   34.3   26.3   38.8 1074.7
  12        16.3    3.3    2.3    0.0   -5.7   38.7    5.0   16.5   29.0    6.1  601.3
  12        15.5    0.5   -0.5    6.5   -6.5   49.5   10.0   16.7   29.1   11.8  555.0
  12        15.8    0.8   -0.2    3.8   -4.2   54.2   10.0   17.0   29.3   10.8  467.7
  12        19.8    1.8   -0.2    0.8   -2.2   60.2   10.0   17.5   29.3    9.8  356.0
  12        18.5    3.5    1.5   -2.5   -2.5   71.5   15.0   18.1   29.3   11.1  254.3
  12        11.8    7.8    7.8  -12.2   -3.2   83.2   25.0   19.1   29.2   13.4  226.0
  12        -1.5    5.5    8.5   -8.5   -5.5  101.5   30.0   19.9   29.2   13.3  217.7
  12        15.5    6.5    7.5  -12.5   -1.5   99.5   20.0   20.8   29.2   10.5  272.0
  12        14.2    3.2    3.2   -6.8    0.2  100.8    5.0   21.7   29.2   10.2  342.0
  12         3.5    2.5    3.5   -8.5    2.5  111.5   15.0   22.6   29.2   10.8  429.0
  12         2.8    4.8    3.8   -6.2   -2.2  107.2   10.0   23.4   28.8    7.3  476.0
  12         2.2    4.2    0.2   -4.8    0.2  107.8    0.0   24.0   28.7    5.9  509.7
  12         8.5    3.5    0.5    1.5   -5.5  106.5    0.0   24.6   28.6    6.6  563.3
  12        24.0    2.0   -2.0   -3.0    3.0  101.0  -10.0   25.2   28.6    8.9  619.3
  12        13.5    2.5    0.5   -0.5   -2.5  111.5    5.0   26.0   28.5   10.9  708.3
  12        -2.8    2.2    1.2   -5.8    2.2  122.8   20.0   26.7   28.5    8.0  789.3
  12        -3.5    4.5   -0.5   -5.5    1.5  118.5   10.0   27.7   28.2    8.2  913.3
  12        -2.0    4.0   -5.0   -2.0    3.0  112.0   -5.0   28.6   27.7    9.6  997.0
  12         0.8    5.8   -2.2   -6.2    2.8  104.2  -10.0   30.0   27.0   10.9 1057.7
  12        -4.8    2.2   -2.8   -4.8    5.2   99.8  -10.0   31.4   26.5   14.6 1060.7
  12        -7.2   -1.2   -3.2   -0.2    4.8   97.2  -10.0   32.8   26.3   21.7 1044.0
  12        -3.8   -1.8   -2.8   -0.8    5.2   88.8  -15.0   34.2   26.0   18.5  984.3
  12        -1.5   -1.5   -4.5    2.5    3.5   86.5  -15.0   36.0   25.9   16.9  896.3
  12         9.0   -1.0   -5.0    1.0    5.0   76.0  -15.0   38.1   25.2   20.0  742.0
